"DAY_OF_MONTH","DAY_OF_WEEK","OP_CARRIER_AIRLINE_ID","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_DEL15","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE"
"483941",26,7,20363,1,4784,12478,12264,1,"0",0,0,228
"252244",13,1,20363,1,5164,10980,10397,1,"0",0,0,106
"543469",29,3,19393,15,1338,13495,10693,2,"1",0,0,471
"341278",18,6,20452,17,4556,12953,14492,1,"0",0,0,431
"304315",16,4,19393,15,8,11140,12191,1,"0",0,0,187
"532306",28,2,20452,17,3613,13930,11066,1,"0",0,0,296
"538539",29,3,20366,6,4228,14122,13930,1,"0",0,0,413
"280072",15,3,20416,11,955,13495,12892,1,"0",0,0,1670
"71853",4,6,19393,15,5211,14831,14679,1,"0",0,0,417
"287634",15,3,19790,5,456,10397,14524,2,"1",0,0,481
"540681",29,3,20452,17,4495,10693,11278,1,"0",0,0,562
"429870",23,4,19393,15,840,13796,14747,1,"0",0,0,672
"399996",21,2,19393,15,5764,12191,10397,1,"0",0,0,696
"204955",11,6,20304,13,5549,14487,14771,1,"0",0,0,199
"196271",10,5,19977,14,1038,11618,11298,2,"1",0,0,1372
"181255",10,5,20368,8,2366,14761,12265,1,"0",0,0,996
"16999",1,3,19977,14,1292,12982,12892,1,"0",0,0,2615
"531020",28,2,19790,5,2969,14492,13487,1,"0",0,0,980
"576119",30,4,20398,10,4267,11298,11986,1,"0",0,0,931
"372428",20,1,20398,10,4029,12478,13931,1,"0",0,0,290
"189333",10,5,19690,9,158,12173,12758,1,"0",0,0,163
"11975",1,3,20304,13,3972,13342,11433,1,"0",0,0,237
"461175",24,5,19977,14,2327,11618,10721,2,"1",0,0,200
"198690",11,6,20436,7,1427,14107,14869,1,"0",0,0,507
"512924",27,1,19393,15,1511,12892,10693,1,"0",0,0,1797
"446234",24,5,20304,13,5127,12264,13832,1,"0",0,0,409
"174668",9,4,19805,2,2509,11298,12451,1,"0",0,0,918
"492585",26,7,19805,2,1216,11618,14107,1,"0",0,0,2133
"308963",16,4,19805,2,2399,11540,11298,1,"0",0,0,551
"197060",10,5,20452,17,4413,13244,11278,2,"1",0,0,762
"429766",23,4,19393,15,1144,13495,14107,1,"0",0,0,1300
"451560",24,5,19805,2,1480,12173,12892,1,"0",0,0,2556
"38585",3,5,20366,6,4042,13930,11577,1,"0",0,0,398
"18278",2,4,20368,8,1900,15624,10676,1,"0",0,0,587
"300274",16,4,19790,5,1826,13487,11697,1,"0",0,0,1487
"389898",21,2,20304,13,5155,11292,12255,1,"0",0,0,298
"507453",27,1,20378,16,6168,12012,12266,1,"0",0,0,886
"556826",29,3,19977,14,1523,11618,14843,2,"1",0,0,1608
"73668",4,6,20304,13,2959,14107,11921,1,"0",0,0,438
"20640",2,4,19790,5,107,12478,13487,1,"0",0,0,1029
"499084",27,1,20366,6,4482,13244,13930,1,"0",0,0,491
"6662",1,3,20416,11,455,10529,15304,1,"0",0,0,1111
"237993",13,1,20363,1,4960,10397,14783,1,"0",0,0,563
"292658",16,4,19930,3,1636,14747,12889,2,"1",0,0,867
"492332",26,7,19805,2,2011,12266,11057,1,"0",0,0,912
"26501",2,4,20416,11,469,11697,11298,1,"0",0,0,1119
"245885",13,1,20397,12,5032,10434,11057,2,"1",0,0,509
"168239",9,4,19977,14,449,10721,13930,1,"0",0,0,867
"208558",11,6,20368,8,537,11823,10466,1,"0",0,0,1546
"286531",15,3,19930,3,79,14747,12523,2,"1",0,0,909
"101867",6,1,20304,13,5282,11292,12003,1,"0",0,0,623
"320084",17,5,20363,1,4823,15096,12478,1,"0",0,0,209
"20478",2,4,19805,2,2257,13495,11298,1,"0",0,0,447
"365697",20,1,19805,2,2731,11057,12478,1,"0",0,0,541
"534605",28,2,20366,6,4231,13930,12451,1,"0",0,0,864
"176970",9,4,19393,15,2443,12889,14570,1,"0",0,0,345
"480356",26,7,19805,2,2564,11298,10140,1,"0",0,0,569
"167339",9,4,19790,5,2976,10693,11433,1,"0",0,0,456
"149069",8,3,19790,5,2310,11298,10397,1,"0",0,0,731
"240672",13,1,20397,12,5251,11057,14685,1,"0",0,0,213
"363051",19,7,20452,17,4344,14730,13303,1,"0",0,0,910
"152806",8,3,19393,15,833,11292,14908,2,"0",0,0,846
"362572",19,7,20304,13,5453,11292,11775,1,"0",0,0,483
"423038",23,4,20409,4,970,13204,14524,1,"0",0,0,667
"526256",28,2,19393,15,934,12892,11259,1,"0",0,0,1246
"368444",20,1,19393,15,1921,14057,12889,1,"0",0,0,763
"513124",27,1,19393,15,2049,13198,12191,1,"0",0,0,666
"428345",23,4,19977,14,943,13930,14027,1,"0",0,0,1143
"6828",1,3,20416,11,782,13204,10821,1,"0",0,0,787
"252091",13,1,19393,15,2183,15016,14831,1,"0",0,0,1715
"89760",5,7,19690,9,595,13830,12173,1,"0",0,0,100
"247372",13,1,20452,17,5898,11066,14492,1,"0",0,0,362
"158420",9,4,19805,2,1820,14100,14027,1,"0",0,0,951
"56558",3,5,19393,15,665,10140,11292,1,"0",0,0,349
"245002",13,1,19393,15,1350,11697,11259,1,"0",0,0,1108
